fips_st_cnty,cnty_name_st_abbrev,hosp_inpat_dys_22,hosp_inpat_dys_21,stgh_inpat_dys_22,stgh_inpat_dys_21,stnglth_inpat_dys_22,stnglth_inpat_dys_21,sth_psych_inpat_dys_22,sth_psych_inpat_dys_21,sth_rehab_inpat_dys_22,sth_rehab_inpat_dys_21,sth_child_inpat_dys_22,sth_child_inpat_dys_21,sth_child_psych_inpat_dys_22,sth_child_psych_inpat_dys_21,sth_acute_lt_inpat_dys_22,sth_acute_lt_inpat_dys_21,ltgh_med_surg_hosp_inpat_dys_22,ltgh_med_surg_hosp_inpat_dys_21,lth_psych_inpat_dys_22,lth_psych_inpat_dys_21,lth_rehab_inpat_dys_22,lth_rehab_inpat_dys_21,lth_chronc_dis_inpat_dys_22,lth_chronc_dis_inpat_dys_21,lth_intel_disblts_inpat_dys_22,lth_intel_disblts_inpat_dys_21,lth_child_psych_inpat_dys_22,lth_child_psych_inpat_dys_21,lth_acute_lt_inpat_dys_22,lth_acute_lt_inpat_dys_21,sth_comn_inpat_dys_22,sth_comn_inpat_dys_21,vetn_hosp_inpat_dys_22,vetn_hosp_inpat_dys_21,hosp_nh_inpat_dys_22,hosp_nh_inpat_dys_21,stgh_nh_inpat_dys_22,stgh_nh_inpat_dys_21,stnglth_nh_inpat_dys_22,stnglth_nh_inpat_dys_21,stgh_medcr_inpat_dys_22,stgh_medcr_inpat_dys_21,stnglth_medcr_inpat_dys_22,stnglth_medcr_inpat_dys_21,stgh_medcd_inpat_dys_22,stgh_medcd_inpat_dys_21,stnglth_medcd_inpat_dys_22,stnglth_medcd_inpat_dys_21,stgh_medcr_ip_dischg_22,stgh_medcr_ip_dischg_21,stnglth_medcr_ip_dischg_22,stnglth_medcr_ip_dischg_21,stgh_medcd_ip_dischg_22,stgh_medcd_ip_dischg_21,stnglth_medcd_ip_dischg_22,stnglth_medcd_ip_dischg_21,stgh_00_39_util_rate_pct_22,stgh_00_39_util_rate_pct_21,stgh_40_59_util_rate_pct_22,stgh_40_59_util_rate_pct_21,stgh_60_79_util_rate_pct_22,stgh_60_79_util_rate_pct_21,stgh_80_plus_util_rate_pct_22,stgh_80_plus_util_rate_pct_21,stgh_outpt_vists_22,stgh_outpt_vists_21,stngh_outpt_vists_22,stngh_outpt_vists_21,lth_outpt_vists_22,lth_outpt_vists_21,vetn_hosp_outpt_vists_22,vetn_hosp_outpt_vists_21,stgh_ed_vists_22,stgh_ed_vists_21,stnglth_ed_vists_22,stnglth_ed_vists_21,stgh_oth_outpt_vists_22,stgh_oth_outpt_vists_21,stnglth_oth_outpt_vists_22,stnglth_oth_outpt_vists_21,medcr_ffs_ed_vists_22,medcr_ffs_ed_vists_21,ed_vists_per_1k_medcr_ffs_22,ed_vists_per_1k_medcr_ffs_21,stgh_surg_opertn_inpat_22,stgh_surg_opertn_inpat_21,stnglth_surg_opertn_inpat_22,stnglth_surg_opertn_inpat_21,stgh_surg_opertn_outpt_22,stgh_surg_opertn_outpt_21,stnglth_surg_opertn_outpt_22,stnglth_surg_opertn_outpt_21,stgh_surg_opertn_22,stgh_surg_opertn_21,stnglth_surg_opertn_22,stnglth_surg_opertn_21,vetn_hosp_surg_opertn_22,vetn_hosp_surg_opertn_21,stgh_opertng_rms_22,stgh_opertng_rms_21,stnglth_opertng_rms_22,stnglth_opertng_rms_21,stgh_iso_rm_22,stgh_iso_rm_21,stnglth_iso_rm_22,stnglth_iso_rm_21
17061,"Greene, IL",869,835,869,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,835,0,0,0,0,0,0,0,0,563,545,0,0,109,88,0,0,105,69,0,0,27,16,0,0,1,1,0,0,0,0,0,0,22177,31904,0,0,0,0,0,0,2420,4713,0,0,19757,27191,0,0,1371,1278,711,639,0,84,0,0,0,1037,0,0,0,1121,0,0,0,0,0,0,0,0,4,0,0,0
17063,"Grundy, IL",14984,14760,14984,14760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14984,14760,0,0,0,0,0,0,0,0,8878,7103,0,0,2172,3369,0,0,2159,1786,0,0,700,675,0,0,0,0,1,1,0,0,0,0,339971,334763,0,0,0,0,0,0,29651,27123,0,0,310320,307640,0,0,4504,4547,681,644,623,642,0,0,2323,2704,0,0,2946,3346,0,0,0,0,5,5,0,0,6,6,0,0
17065,"Hamilton, IL",3177,3216,3177,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,3216,0,0,0,0,0,0,0,0,1633,1638,0,0,620,590,0,0,319,317,0,0,108,104,0,0,1,1,0,0,0,0,0,0,48319,46871,0,0,0,0,0,0,6305,5986,0,0,42014,40885,0,0,1033,1017,737,688,197,185,0,0,1451,1272,0,0,1648,1457,0,0,0,0,0,0,0,0,0,0,0,0
17067,"Hancock, IL",2712,2608,2712,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,2608,0,0,0,0,0,0,0,0,2072,1957,0,0,216,176,0,0,403,379,0,0,71,77,0,0,0,0,1,1,0,0,0,0,82393,72882,0,0,0,0,0,0,5308,4795,0,0,77085,68087,0,0,2002,2136,583,602,134,85,0,0,1413,1253,0,0,1547,1338,0,0,0,0,2,1,0,0,2,1,0,0
17069,"Hardin, IL",2146,268,2146,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,268,0,0,0,0,0,0,0,0,1773,151,0,0,150,44,0,0,316,134,0,0,38,46,0,0,1,1,0,0,0,0,0,0,19236,11989,0,0,0,0,0,0,4099,3560,0,0,15137,8429,0,0,814,756,1052,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17071,"Henderson, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,758,645,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17073,"Henry, IL",17122,16891,17122,16891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17122,16891,0,0,13129,12699,13129,12699,0,0,6492,3661,0,0,6292,1651,0,0,604,700,0,0,189,72,0,0,1,1,0,0,1,1,0,0,225880,212460,0,0,0,0,0,0,17732,15037,0,0,208148,197423,0,0,3715,3729,586,554,111,390,0,0,3521,3730,0,0,3632,4120,0,0,0,0,5,5,0,0,2,2,0,0
17075,"Iroquois, IL",11681,11851,11681,11851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11681,11851,0,0,0,10673,0,10673,0,0,5675,1163,0,0,2792,5018,0,0,257,265,0,0,95,45,0,0,0,0,1,1,0,0,0,0,65882,63462,0,0,0,0,0,0,12182,4185,0,0,53700,59277,0,0,2892,3085,613,624,199,117,0,0,977,784,0,0,1176,901,0,0,0,0,0,4,0,0,0,3,0,0
17077,"Jackson, IL",40483,38545,40483,38545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40483,38545,0,0,0,0,0,0,0,0,23688,18448,0,0,10919,8405,0,0,4410,4119,0,0,3461,2676,0,0,0,0,2,2,0,0,0,0,241614,294971,0,0,0,0,0,0,43024,41896,0,0,198590,253075,0,0,3947,4021,749,712,2382,2911,0,0,10255,5160,0,0,12637,8071,0,0,0,0,16,16,0,0,14,14,0,0
17079,"Jasper, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,918,675,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
