fips_st_cnty,cnty_name_st_abbrev,stgh_rptng_exp_23,stgh_rptng_exp_22,stnglth_rptng_exp_23,stnglth_rptng_exp_22,vetn_hosp_rptng_exp_23,vetn_hosp_rptng_exp_22,stgh_reprtd_fac_exp_thou_23,stgh_reprtd_fac_exp_thou_22,stnglth_reprtd_fac_exp_thou_23,stnglth_reprtd_fac_exp_thou_22,vetn_hosp_reprtd_fac_exp_thou_23,vetn_hosp_reprtd_fac_exp_thou_22,stgh_rptng_payrl_exp_23,stgh_rptng_payrl_exp_22,stnglth_rptng_payrl_exp_23,stnglth_rptng_payrl_exp_22,stgh_reprtd_payrl_exp_thou_23,stgh_reprtd_payrl_exp_thou_22,stnglth_reprtd_payrl_exp_thou_23,stnglth_reprtd_payrl_exp_thou_22,actl_ffs_costs_23,actl_ffs_costs_22,stdizd_ffs_costs_23,stdizd_ffs_costs_22,actl_per_cap_ffs_cost_23,actl_per_cap_ffs_cost_22,stdizd_per_cap_ffs_cost_23,stdizd_per_cap_ffs_cost_22,inpat_actl_ffs_costs_23,inpat_actl_ffs_costs_22,inpat_actl_cost_pct_23,inpat_actl_cost_pct_22,inpat_actl_ffs_cost_per_cap_23,inpat_actl_ffs_cost_per_cap_22,medcr_ffs_inpat_covrd_stay_23,medcr_ffs_inpat_covrd_stay_22,inpat_user_ffs_cost_23,inpat_user_ffs_cost_22,medcr_ffs_inpat_svc_pct_23,medcr_ffs_inpat_svc_pct_22,medcr_adv_ab_rate_0_bonus_pct_25,medcr_adv_ab_rate_0_bonus_pct_24,medcr_adv_ab_rate_3_5_pct_25,medcr_adv_ab_rate_3_5_pct_24,medcr_adv_ab_rate_5_bonus_pct_25,medcr_adv_ab_rate_5_bonus_pct_24,pts_seen_va_fac_23,pts_seen_va_fac_22,va_med_care_expd_23,va_med_care_expd_22
54055,"Mercer, WV",1,1,1,1,0,0,243576,218333,23746,21094,0,0,1,1,1,1,97280,78370,8295,7357,73491074,71702947,75820095,73200221,10863.43,9518.51,11207.7,9717.27,22604606,21795200,30.76,30.4,3341.41,2893.3,1076,1076,21008,20255.76,15.91,14.28,1109.2,1085.74,1125,1098.69,1125,1098.69,1914,1989,42544,41152
54057,"Mineral, WV",1,1,0,0,0,0,71414,58193,0,0,0,0,1,1,0,0,26061,21825,0,0,58551532,57378396,52944899,50082670,13416.94,12538.99,12132.2,10944.64,17896134,17867065,30.56,31.14,4100.86,3904.52,680,674,26317.84,26509,15.58,14.73,1141.6,1137.06,1183.7,1178.96,1201.7,1196.91,852,888,14532,15054
54059,"Mingo, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23678267,24774271,23692974,24418358,11033.68,9949.51,11040.53,9806.57,8722116,9083262,36.84,36.66,4064.36,3647.9,334,398,26114.12,22822.27,15.56,15.98,1181.6,1150.64,1197.7,1164.6,1197.7,1164.6,473,504,11563,10102
54061,"Monongalia, WV",2,2,2,2,0,0,2375029,2069199,64221,57233,0,0,2,2,2,2,649052,586881,26087,23601,74305658,77490491,76133698,79322222,12201.26,11890.52,12501.43,12171.59,22129255,24241865,29.78,31.28,3633.7,3719.79,940,1085,23541.76,22342.73,15.44,16.65,1042.3,1022.56,1042.3,1022.56,1042.3,1022.56,1637,1603,27183,24307
54063,"Monroe, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17519807,18226439,18053438,18646949,8821.66,8528.98,9090.35,8725.76,5312220,6409417,30.32,35.17,2674.83,2999.26,257,304,20670.12,21083.61,12.94,14.23,1089,1093.8,1118.4,1093.8,1118.4,1093.8,465,490,8433,9002
54065,"Morgan, WV",1,1,0,0,0,0,33172,31498,0,0,0,0,1,1,0,0,12279,12527,0,0,30149448,27217562,29195782,25669822,11415.92,9655.04,11054.82,9106,9095572,8246911,30.17,30.3,3443.99,2925.47,409,397,22238.56,20773.08,15.49,14.08,1098.7,1095.35,1137.2,1125.31,1150.1,1125.31,599,601,10847,10778
54067,"Nicholas, WV",1,1,0,0,0,0,68651,60457,0,0,0,0,1,1,0,0,27192,26043,0,0,25053933,28456523,27813585,29906553,9187.36,9120.68,10199.33,9585.43,7323671,8431309,29.23,29.63,2685.61,2702.34,340,424,21540.21,19885.16,12.47,13.59,1115.1,1089.21,1115.1,1089.21,1115.1,1089.21,932,984,17564,17983
54069,"Ohio, WV",1,1,1,1,0,0,485641,431169,31192,28038,0,0,1,1,1,1,201763,177570,11021,10152,46786893,44586428,49277296,46487096,10898.41,9822.96,11478.52,10241.7,12829718,13270815,27.42,29.76,2988.52,2923.73,685,701,18729.52,18931.26,15.96,15.44,1139.7,1134.93,1174.4,1169.48,1189.3,1184.28,927,908,10221,9451
54071,"Pendleton, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13821237,13286972,13005142,12627498,11762.75,10236.5,11068.21,9728.43,4776731,3841039,34.56,28.91,4065.3,2959.2,169,181,28264.68,21221.21,14.38,13.94,1103.9,1095.73,1121.9,1095.73,1121.9,1095.73,220,213,3765,3291
54073,"Pleasants, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9508511,11516985,9542063,11939215,10448.91,11922.34,10485.78,12359.44,2588603,3587211,27.22,31.15,2844.62,3713.47,154,172,16809.11,20855.88,16.92,17.81,1082.5,1085.95,1119.1,1092.75,1119.1,1092.75,185,190,2992,3125
54075,"Pocahontas, WV",1,1,0,0,0,0,23001,20360,0,0,0,0,1,1,0,0,9367,8351,0,0,13944759,16258840,13888546,15512015,10937.07,11588.62,10892.98,11056.32,3530414,4371662,25.32,26.89,2768.95,3115.94,148,190,23854.15,23008.75,11.61,13.54,1123.8,1101.35,1127.7,1116.72,1127.7,1116.72,290,295,5333,4795
54077,"Preston, WV",1,1,0,0,0,0,52932,48459,0,0,0,0,1,1,0,0,21582,17909,0,0,41898574,41229452,42112419,41281359,11366.95,10400.97,11424.96,10414.07,12178203,11298499,29.07,27.4,3303.91,2850.28,502,527,24259.37,21439.28,13.62,13.29,1104.8,1070.16,1104.8,1070.16,1104.8,1070.16,934,928,16306,13889
54079,"Putnam, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60378480,59504273,61914265,60718801,11774.27,10373.83,12073.76,10585.57,16087246,16122680,26.64,27.09,3137.14,2810.79,738,798,21798.44,20203.86,14.39,13.91,1107.3,1094.17,1174.7,1160.77,1203.6,1189.31,1417,1416,28476,26933
54081,"Raleigh, WV",3,3,0,0,1,1,997844,1017389,0,0,683326,697664,3,3,0,0,363116,365031,0,0,102969793,106329289,108417069,110896123,11265.84,10643.57,11861.82,11100.71,35427254,36209804,34.41,34.05,3876.07,3624.61,1602,1693,22114.39,21387.95,17.53,16.95,1113.2,1098.87,1149.4,1134.64,1164.9,1142.85,3194,3206,108257,92470
54083,"Randolph, WV",1,1,0,0,0,0,130352,121466,0,0,0,0,1,1,0,0,59432,52369,0,0,34536048,37603312,35505450,37815325,10278.59,10246.13,10567.1,10303.9,9395061,12378680,27.2,32.92,2796.15,3372.94,435,489,21597.84,25314.27,12.95,13.32,1079.9,1055.5,1112.7,1087.63,1119.2,1093.37,889,905,18071,15208
54085,"Ritchie, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12840045,13022573,13523462,13513088,10700.04,10048.28,11269.55,10426.77,4164254,4432675,32.43,34.04,3470.21,3420.27,209,219,19924.66,20240.53,17.42,16.9,1026,1040.74,1057.2,1072.41,1070.6,1085.99,342,351,7286,5945
54087,"Roane, WV",1,1,0,0,0,0,59665,55284,0,0,0,0,1,1,0,0,22721,21866,0,0,16069946,19173173,15765232,19713690,10387.81,10482.87,10190.84,10778.4,4424477,5617371,27.53,29.3,2860.04,3071.28,200,240,22122.39,23405.71,12.93,13.12,1114,1072.33,1119.5,1094.38,1119.5,1094.38,419,420,7539,5479
54089,"Summers, WV",1,1,0,0,0,0,21424,18974,0,0,0,0,1,1,0,0,7870,7012,0,0,15982557,18361669,16915550,19129458,9485.2,9792.89,10038.9,10202.38,4709004,5676311,29.46,30.91,2794.66,3027.37,243,271,19378.62,20945.8,14.42,14.45,1123.9,1098.01,1123.9,1098.01,1123.9,1098.01,525,548,12267,11879
54091,"Taylor, WV",1,1,0,0,0,0,29808,26380,0,0,0,0,1,1,0,0,12061,10836,0,0,19923243,21900287,20669643,22398829,11148.99,11083.14,11566.67,11335.44,5298453,6036624,26.59,27.56,2965,3054.97,253,282,20942.5,21406.47,14.16,14.27,1158.6,1121.33,1168.9,1146.2,1168.9,1146.2,580,590,11755,11845
54093,"Tucker, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10978421,11284551,11031083,11138001,10912.94,10314.95,10965.29,10180.99,3369286,3516348,30.69,31.16,3349.19,3214.21,134,153,25143.93,22982.67,13.32,13.99,1113.2,1065.27,1115.2,1088.6,1115.2,1088.6,242,261,4535,4070
54095,"Tyler, WV",1,1,0,0,0,0,16716,14638,0,0,0,0,1,1,0,0,6077,5417,0,0,12714327,11651657,12363496,11526019,13026.97,10909.79,12667.52,10792.15,3404009,3662328,26.77,31.43,3487.71,3429.15,162,169,21012.4,21670.58,16.6,15.82,1121.9,1101.86,1121.9,1101.86,1121.9,1101.86,228,237,5730,4454
54097,"Upshur, WV",1,1,0,0,0,0,96548,85499,0,0,0,0,1,1,0,0,33263,29486,0,0,26305078,28293905,27471561,28597874,10946.77,10795.08,11432.19,10911.05,7323310,8321985,27.84,29.41,3047.57,3175.12,353,370,20745.92,22491.85,14.69,14.12,1114.4,1088.82,1114.4,1088.82,1114.4,1088.82,821,848,19199,17735
54099,"Wayne, WV",1,1,0,0,1,1,314057,314057,0,0,314057,314057,1,1,0,0,121678,121678,0,0,42967046,47784620,44014193,47907295,10551.83,10456.15,10808.99,10483,12534369,15685068,29.17,32.82,3078.18,3432.18,592,684,21172.92,22931.39,14.54,14.97,1141.7,1106.84,1176.4,1140.53,1191.3,1154.96,1416,1505,51016,64547
54101,"Webster, WV",1,1,0,0,0,0,22040,19426,0,0,0,0,1,1,0,0,8013,7188,0,0,8354855,10840381,8929599,11026266,9181.16,10255.8,9812.75,10431.66,2234451,3125398,26.74,28.83,2455.44,2956.86,115,129,19430.01,24227.89,12.64,12.2,1064.5,1050.29,1100.4,1087.05,1114.5,1087.17,264,283,6375,4646
54103,"Wetzel, WV",1,1,0,0,0,0,33786,30127,0,0,0,0,1,1,0,0,13332,11398,0,0,19285344,19880609,19335045,20127009,11737.88,10953.5,11768.13,11089.26,6106360,6639316,31.66,33.4,3716.59,3658.03,269,287,22700.22,23133.51,16.37,15.81,1112.2,1085.47,1112.2,1085.47,1112.2,1085.47,387,395,6650,6419
54105,"Wirt, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7053667,8167100,7091743,8237548,10559.38,10662.01,10616.38,10753.98,2173850,2663591,30.82,32.61,3254.27,3477.27,95,127,22882.63,20973.16,14.22,16.58,1121.1,1095.58,1121.1,1095.58,1121.1,1095.58,181,186,3048,2182
54107,"Wood, WV",1,1,1,1,0,0,428904,385920,15521,13785,0,0,1,1,1,1,156045,93538,5422,4808,133871120,136478538,137458718,141849215,12084.41,11267.11,12408.26,11710.49,41375851,42515480,30.91,31.15,3734.96,3509.91,2133,2145,19397.96,19820.74,19.25,17.71,1119.2,1094.37,1119.2,1094.37,1119.2,1094.37,2315,2321,38073,32844
